FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,_FKDVTop,_FOTVTop,_FFatTop,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod
7858,8215,320.004,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8216,320.046,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8217,320.071,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8218,320.100,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8219,320.039,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8220,320.061,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8221,320.043,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8222,320.015,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8223,320.005,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8224,320.088,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8225,320.041,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8226,320.047,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8227,320.134,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8228,320.036,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8229,320.067,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8230,320.105,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8231,320.097,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8232,320.104,Mağaza Tahsilatı,US,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8233,320.003,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8234,320.023,Mağaza Tahsilatı,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8235,320.066,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8236,320.117,Mağaza Tahsilatı,US,,2300.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8237,320.121,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8238,320.087,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8239,320.092,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8240,320.056,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8241,320.118,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8242,320.130,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8243,320.081,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8244,320.103,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8245,320.113,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8246,320.085,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8247,320.045,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8248,320.101,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8249,320.108,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8250,320.133,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8251,320.073,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8252,320.044,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8253,320.124,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8254,320.065,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8255,320.099,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8256,320.033,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8257,320.051,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8258,YS-001,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7859,8259,YS- 002,Mağaza Tahsilatı 15.000 TL,TL,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,
7860,8260,YS- 002,Mağaza Tahsilatı 20.000 TL,TL,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,
7861,8261,120.091,Ünal otelden alındı.,US,,2170.0,,,,,,,,,,,,,,,,,,,,,,,,
7862,8262,120.171,Euro Fashion shop alındı.,US,,724.0,,,,,,,,,,,,,,,,,,,,,,,,
7863,8263,120.024,UPT ile alındı.,US,,704.0,,,,,,,,,,,,,,,,,,,,,,,,
7864,8264,120.151,Korona Pay ile alındı.,US,,378.0,,,,,,,,,,,,,,,,,,,,,,,,
7865,8265,120.181,Kwikpay ile alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7866,8266,320.112,Depoda ödeme yapıldı.,US,,480.0,,,,,,,,,,,,,,,,,,,,,,,,
7867,8267,120.095,Aksaray Otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7868,8268,120.055,Cenova Tekstilden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7869,8269,120.089,Cenova tekstilden alındı. ,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7870,8270,120.146,Korona Pay ile alındı.,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
7871,8271,120.013,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7872,8272,120.184 ,Korona Pay ile alındı.,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7873,8273,120.121,UPT ile ödeme alındı.,US,,449.0,,,,,,,,,,,,,,,,,,,,,,,,
7874,8274,120.185,TAHSİLAT MAGAZA,US,,974.0,,,,,,,,,,,,,,,,,,,,,,,,
7875,8275,120.132,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7876,8276,120.105,Arabacı Dövizden alındı.,US,,1112.0,,,,,,,,,,,,,,,,,,,,,,,,
7877,8277,120.099,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7878,8278,120.098,UPT ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7879,8279,120.081,AKFA kargodan alındı.,US,,3886.0,,,,,,,,,,,,,,,,,,,,,,,,
7880,8280,120.175,Medya Otelden alındı.,US,,858.0,,,,,,,,,,,,,,,,,,,,,,,,
7881,8281,120.015,Voron Kargodan alındı.,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
7882,8282,120.006,Laleli Galeria 226 dan alındı.,US,,2850.0,,,,,,,,,,,,,,,,,,,,,,,,
7883,8283,120.109,Mos Trans Kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7884,8284,120.097,mario muziden alındı.,US,,468.0,,,,,,,,,,,,,,,,,,,,,,,,
7885,8285,120.063,Mario Muziden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7886,8286,120.136,Mağaza Tahsilatı (Bahar),US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7887,8287,120.039,Lublin den alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7888,8288,120.076,Lublinden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7889,8289,120.075,Lublinden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7890,8290,120.021,TT Kargodan alındı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7891,8291,120.162,Dila Kuyumculuk Alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7892,8292,120.148,Medved kargodan alındı.,US,,1816.0,,,,,,,,,,,,,,,,,,,,,,,,
7893,8293,120.160,885€ karşılığı ,US,,955.0,,,,,,,,,,,,,,,,,,,,,,,,
7894,8294,120.092,Korona Pay ile alındı.,US,,938.0,,,,,,,,,,,,,,,,,,,,,,,,
7895,8295,120.172,Dila Kuyumculuktan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7896,8296,120.088,Antik İness kargodan alındı.,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7897,8297,120.031,Zeri Golddan alındı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7898,8298,120.120,Alsu kargodan alındı.,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7899,8299,120.050,1230€ karşılığı,US,,1327.0,,,,,,,,,,,,,,,,Vilnius kargodan alındı.,,,,,,,,
7900,8300,120.185,Mağaza Tahsilatı,US,,1870.0,,,,,,,,,,,,,,,,,,,,,,,,
7901,8301,120.140,Cenova tekstilden alındı.,US,,1900.0,,,,,,,,,,,,,,,,,,,,,,,,
7902,8302,120.165,Kongat kargodan alındı.,US,,780.0,,,,,,,,,,,,,,,,,,,,,,,,
7903,8303,120.018,Resmi Hesaba gönderildi,US,,5013.0,,,,,,,,,,,,,,,,,,,,,,,,
7904,8304,120.022,Orient Mintur Otelden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7905,8305,120.078,Mağaza Tahsilatı,US,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
7906,8306,120.084,Korona Pay ile alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7907,8307,120.087,Korona Pay ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7908,8308,120.126,Dilek hanım mağazadan alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7909,8309,120.077,Ramiel Gruptan alındı.,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
7910,8310,120.043,Seul gruptan alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7911,8311,120.056,Dila Kuyumculuktan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7912,8312,120.169,Mega Kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7913,8313,120.137,Pegas kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7914,8314,120.010,Western Union ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7915,8315,Y01.001,Kasaya Giriş,US,,5000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
7916,8316,320.052,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8317,320.020,Mağaza Tahsilatı,US,,3500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8318,320.030,Mağaza Tahsilatı,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8319,320.014,Mağaza Tahsilatı,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8320,320.057,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8321,320.001,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8322,320.063,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8323,320.026,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8324,320.104,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8325,320.043,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8326,320.093,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8327,320.004,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8328,320.015,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,Sentini ye verildi.,,,,,,,,
7916,8329,320.088,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8330,320.100,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8331,320.071,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8332,320.041,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8333,320.061,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8334,320.023,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8335,320.067,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8336,320.076,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8337,320.046,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8338,320.047,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8339,320.005,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8340,320.039,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8341,320.066,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8342,320.059,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8343,320.105,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8344,320.003,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8345,320.085,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8346,320.056,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8347,320.036,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8348,320.108,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8349,320.134,Mağaza Tahsilatı,US,,1900.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8350,320.097,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8351,320.072,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8352,320.087,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8353,320.081,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8354,320.121,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8355,320.118,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8356,320.119,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8357,320.074,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8358,320.044,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8359,320.092,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8360,320.012,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8361,320.135,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8362,320.113,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8363,320.120,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8364,320.130,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8365,320.101,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8366,320.103,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8367,320.142,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8368,320.133,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8369,320.107,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8370,320.062,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8371,320.045,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8372,320.122,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8373,320.084,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8374,320.096,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8375,320.126,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8376,320.018,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8377,320.033,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8378,320.013,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8379,320.064,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8380,320.086,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8381,320.110,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8382,320.082,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8383,320.099,Mağaza Tahsilatı,US,,268.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8384,320.125,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8385,320.049,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8386,320.137,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8387,TKNK- 002,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
7916,8388,320.112,Mağaza Tahsilatı,US,,480.0,,,,,,,,,,,,,,,,,,,,,,,,
7917,8389,120.047,Korona Pay ile alındı.,US,,1040.0,,,,,,,,,,,,,,,,,,,,,,,,
7918,8390,120.013,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7919,8391,120.141,Alsu Trans Kargodan alındı.,US,,1244.0,,,,,,,,,,,,,,,,,,,,,,,,
7920,8392,120.017,Emos& Aksoy kargodan alındı.,US,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
7921,8393,YS-001,3000€ karşılığı,US,,3500.0,,,,,,,,,,,,,,,,,,,,,,,,
7922,8394,YS-001,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7923,8395,YS- 003,UKI Kutuları,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
7924,8396,YS- 003,UKI ,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7925,8397,YS- 002,300$ karşılığı 11.300 TL ödeme,TL,,11300.0,,,,,,,,,,,,,,,,,,,,,,,,
7926,8398,120.096,34 kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7927,8399,120.067,63 kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7928,8400,120.048,30$ İNDİRİM,US,,30.0,,,,,,,,,,,,,,,,,,,,,,,,
7929,8401,120.048,10$ WU kesinti,US,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
7930,8402,120.048,Mağaza Tahsilatı ,US,,960.0,,,,,,,,,,,,,,,,Sayara,,,,,,,,
7931,8403,120.041,1 tk sipariş iptali,US,,254.0,,,,,,,,,,,,,,,,,,,,,,,,
7932,8404,120.183,Nadya kalan miktarı aktarıldı.,US,,254.0,,,,,,,,,,,,,,,,,,,,,,,,
7933,8405,120.173,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,Sayara,,,,,,,,
7934,8406,120.161,Cenova tekstilden alındı.,US,,936.0,,,,,,,,,,,,,,,,,,,,,,,,
7935,8407,120.157,Pegas Katgodan alındı.,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7936,8408,120.117,Pegas kargodan alındı.,US,,1880.0,,,,,,,,,,,,,,,,,,,,,,,,
7937,8409,120.037,TAHSİLAT MAGAZA İRA VERDİ,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
7938,8410,120.182,TAHSİLAT MAHAZA BAHAR,US,,240.0,,,,,,,,,,,,,,,,,,,,,,,,
7939,8411,120.146,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7940,8412,120.067,63 Kargodan alındı.,US,,1180.0,,,,,,,,,,,,,,,,,,,,,,,,
7941,8413,120.187,TAHSİLAT MAGAZA,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7943,8415,320.132,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
7944,8416,120.076,Medya Otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7945,8417,120.075,Medya Otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7946,8418,120.149,Medya Otelden alındı.,US,,860.0,,,,,,,,,,,,,,,,,,,,,,,,
7947,8419,120.186,Deniz 5777 kargodan alındı.,US,,3500.0,,,,,,,,,,,,,,,,,,,,,,,,
7948,8420,120.001,Avcılar Ayk. dan alındı.,US,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
7949,8421,120.118,Pegas Kargodan alındı.,US,,1690.0,,,,,,,,,,,,,,,,,,,,,,,,
7950,8422,120.155,Kargo 34'ten alındı.,US,,582.0,,,,,,,,,,,,,,,,,,,,,,,,
7951,8423,120.139,KZ 999 kargodan alındı.,US,,1100.0,,,,,,,,,,,,,,,,,,,,,,,,
7952,8424,120.015,Voron kargodan alındı.,US,,2706.0,,,,,,,,,,,,,,,,,,,,,,,,
7953,8425,120.189,TAHSİLAT MAGAZA ,US,,636.0,,,,,,,,,,,,,,,,,,,,,,,,
7954,8426,120.039,Medya Otelden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7955,8427,120.063,Medya Otelden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7956,8428,120.047,Korona Pay ile alındı.,US,,448.0,,,,,,,,,,,,,,,,,,,,,,,,
7957,8429,120.112,Rubil Kargodan alındı.,US,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,
7958,8430,120.126,İcon Shoes'dan alındı.,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
7959,8431,120.069,Medya Otelden alındı.,US,,920.0,,,,,,,,,,,,,,,,,,,,,,,,
7960,8432,120.007,Medya Otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7961,8433,120.037,İRA TAHİLAT MAGAZA,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8434,320.052,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8435,320.020,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8436,320.057,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8437,320.030,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8438,320.004,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8439,320.063,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8440,320.014,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8441,320.026,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8442,320.043,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8443,320.001,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8444,320.100,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8445,320.061,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8446,320.047,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8447,320.104,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8448,320.015,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8449,320.005,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8450,320.085,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8451,320.071,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8452,320.003,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8453,320.059,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8454,320.076,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8455,320.039,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8456,320.023,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8457,320.041,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8458,320.046,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8459,320.066,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8460,320.067,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8461,320.093,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8462,320.116,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8463,320.081,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8464,320.096,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8465,320.097,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
